Layer #,Pass #,Time(ms),Reading
63,2,576114,673.0
63,2,576130,665.0
63,2,576147,658.0
63,2,576163,653.0
63,2,576180,646.0
63,2,576196,641.0
63,2,576214,633.0
63,2,576230,629.0
63,2,576246,624.0
63,2,576263,618.0
63,2,576280,617.0
63,2,576296,612.0
63,2,576314,607.0
63,2,576329,603.0
63,2,576347,600.0
63,2,576363,597.0
63,2,576379,594.0
63,2,576397,592.0
63,2,576413,591.0
63,2,576429,590.0
63,2,576447,588.0
63,2,576463,585.0
63,2,576479,584.0
63,2,576496,582.0
63,2,576513,579.0
63,2,576530,577.0
63,2,576547,577.0
63,2,576563,575.0
63,2,576580,572.0
63,2,576597,572.0
63,2,576613,571.0
63,2,576629,569.0
63,2,576647,572.0
63,2,576663,570.0
63,2,576680,568.0
63,2,576696,568.0
63,2,576713,568.0
63,2,576730,567.0
63,2,576746,567.0
63,2,576764,565.0
63,2,576780,565.0
63,2,576796,563.0
63,2,576814,561.0
63,2,576830,560.0
63,2,576847,558.0
63,2,576864,562.0
63,2,576880,561.0
63,2,576896,560.0
63,2,576913,560.0
63,2,576930,560.0
63,2,576947,561.0
63,2,576963,559.0
63,2,576981,559.0
63,2,576997,560.0
63,2,577013,559.0
63,2,577030,557.0
63,2,577046,556.0
63,2,577063,556.0
63,2,577080,555.0
63,2,577097,555.0
63,2,577114,557.0
63,2,577130,556.0
63,2,577147,555.0
